Page,Meta description
https://docs.pulse.codacy.com/,Pulse displays the following metrics to provide insights into the current and historic performance of your software delivery process:
https://docs.pulse.codacy.com/notes/,"Some changes in your organization, either internal or external to the environment, can impact your software delivery process. For example, changes in the team structure or membership, teams adopting new working processes, or major events affecting the system stability, might have a positive or negative impact on the performance of your teams."
https://docs.pulse.codacy.com/cli/cli/,"Use the Pulse CLI to send information about changes, deployments, and incidents whenever they happen in the software delivery workflow of your primary application or service."
https://docs.pulse.codacy.com/cli/examples/,This page includes examples of scripts that we used to populate our own Pulse dashboard with historical data.
https://docs.pulse.codacy.com/metrics/accelerate-changes/,Changes and reviews metrics provide an extra level of detail about the performance of your team workflows.
https://docs.pulse.codacy.com/metrics/accelerate-wip/,Pulse calculates the work in progress metrics based on the status of all pull requests targeting any base branch in your repositories.
https://docs.pulse.codacy.com/metrics/accelerate/,"Pulse calculates the four key Accelerate metrics based on changes, deployments, and incidents data for a rolling window of the last 90 days:"
https://docs.pulse.codacy.com/metrics/lead-cycle-time/,Monitoring you team's lead time and cycle time allows you to understand if you're improving the ability to deliver value to customers. These productivity metrics indicate how long it takes for work to flow through the software development process:
https://docs.pulse.codacy.com/one-click-integrations/bitbucket-integration/,"Pulse integrates with Bitbucket Cloud to receive data about changes and deployments, necessary to calculate the metrics:"
https://docs.pulse.codacy.com/one-click-integrations/github-integration/,"Pulse integrates with GitHub Cloud to receive data about changes and deployments, necessary to calculate the metrics:"
https://docs.pulse.codacy.com/one-click-integrations/jira-integration/,"Pulse integrates with Jira Cloud to receive data about issues, necessary to calculate the metrics Lead time and Cycle time."
https://docs.pulse.codacy.com/one-click-integrations/pagerduty-integration/,"Pulse integrates with PagerDuty to receive data about incidents, necessary to calculate the metrics Time to recover and Change failure rate."
